Census Tract,Total Population,ZIP,Nearby City,Longitude,Latitude,Drinking Water,geometry
6037192410,3757,90004,Los Angeles,-118.3181008,34.0798577,766.84,POINT (-118.3181008 34.0798577)
6037181300,4058,90041,Los Angeles,-118.2236529,34.1360845,866.81,POINT (-118.2236529 34.1360845)
6037211704,2943,90020,Los Angeles,-118.3115783,34.0635115,766.84,POINT (-118.3115783 34.0635115)
6037186100,5024,90065,Los Angeles,-118.2299818,34.1284623,843.54,POINT (-118.2299818 34.1284623)
6037189800,3923,90046,Los Angeles,-118.3590366,34.0982925,741.29,POINT (-118.3590366 34.0982925)
6037183510,2612,90042,Los Angeles,-118.2030827,34.1154022,486.4,POINT (-118.2030827 34.1154022)
6037703001,6288,90056,Los Angeles,-118.3818632,33.9970127,608.45,POINT (-118.3818632 33.9970127)
6037269602,2847,90034,Los Angeles,-118.384482,34.0432688,766.84,POINT (-118.384482 34.0432688)
6037189904,2402,90046,Los Angeles,-118.3467929,34.0997191,766.84,POINT (-118.3467929 34.0997191)
6037212501,1912,90005,Los Angeles,-118.3053637,34.05607,766.84,POINT (-118.3053637 34.05607)
6037269800,3123,90034,Los Angeles,-118.3968111,34.032045,438.52,POINT (-118.3968111 34.032045)
6037214000,3971,90036,Los Angeles,-118.348502,34.0748535,766.84,POINT (-118.348502 34.0748535)
6037267404,3340,90025,Los Angeles,-118.4605333,34.0456314,438.52,POINT (-118.4605333 34.0456314)
6037183300,3256,90042,Los Angeles,-118.2008163,34.1210001,486.4,POINT (-118.2008163 34.1210001)
6037189500,4151,90068,Los Angeles,-118.3212809,34.1084106,766.84,POINT (-118.3212809 34.1084106)
6037271801,3300,90034,Los Angeles,-118.4182534,34.0167232,438.52,POINT (-118.4182534 34.0167232)
6037214502,5375,90036,Los Angeles,-118.3504042,34.0680052,766.84,POINT (-118.3504042 34.0680052)
6037700200,7082,90046,Los Angeles,-118.365303,34.0924899,741.16,POINT (-118.365303 34.0924899)
6037216401,3920,90035,Los Angeles,-118.3797435,34.0566897,791.71,POINT (-118.3797435 34.0566897)
6037186202,1953,90065,Los Angeles,-118.2241897,34.1200291,486.4,POINT (-118.2241897 34.1200291)
6037183402,2994,90041,Los Angeles,-118.2164099,34.1257206,486.4,POINT (-118.2164099 34.1257206)
6037181500,3918,90041,Los Angeles,-118.1928507,34.1347808,659.44,POINT (-118.1928507 34.1347808)
6037189905,2402,90046,Los Angeles,-118.3515882,34.100603,766.84,POINT (-118.3515882 34.100603)
6037181400,4669,90041,Los Angeles,-118.2088736,34.1367194,486.4,POINT (-118.2088736 34.1367194)
6037189600,3787,90068,Los Angeles,-118.3297619,34.1113557,766.84,POINT (-118.3297619 34.1113557)
6037212702,3684,90005,Los Angeles,-118.3261907,34.0585147,766.84,POINT (-118.3261907 34.0585147)
6037192002,2596,90036,Los Angeles,-118.3553201,34.0835415,766.84,POINT (-118.3553201 34.0835415)
6037211701,2744,90020,Los Angeles,-118.3184531,34.0653405,766.84,POINT (-118.3184531 34.0653405)
6037216800,3191,90035,Los Angeles,-118.3706043,34.0557841,766.84,POINT (-118.3706043 34.0557841)
